"","Plant","VSLNumber","SampleID","spoilagetype","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"74","Garelick Farms","440","43","spore",92,205,148000,502000,123,51,"OK","OK","OK","OK","OK","OK"
"75","Garelick Farms","440","43-1","spore",31,26100,4090,353000,92,154,"OK","OK","OK","OK","OK","OK"
"76","Garelick Farms","440","43-2","spore",573,18100000,2.03e+08,204000,113,215,"OK","OK","OK","OK","OK","OK"
"77","Garelick Farms","442","72","spore",297,1500,13200,149000,287,429,"OK","OK","OK","OK","OK","OK"
"78","Garelick Farms","442","72-1","spore",358,521,9470,195000,307,317,"OK","OK","OK","OK","OK","OK"
"79","Garelick Farms","442","72-2","spore",205,450,3330,73600,235,368,"OK","OK","OK","OK","OK","OK"
"80","Garelick Farms","442","73","spore",286,4e+05,164,929,286,286,"OK",">","OK","OK","OK","OK"
"81","Garelick Farms","442","73-1","spore",235,184,184,4e+05,287,450,"OK","OK","OK",">","OK","OK"
"82","Garelick Farms","442","73-2","spore",194,256,40000,143,368,358,"OK","OK","OK","OK","OK","OK"
"83","Garelick Farms","458","11","spore",2400,27000,650000,2300000,2800,4000,"OK","OK","OK","OK","OK","OK"
"84","Garelick Farms","458","12","ppc",1.7e+07,1.1e+08,8e+06,6.6e+07,23000,1000,"OK","OK","OK","OK","OK","OK"
"85","Garelick Farms","458","12-1","ppc",9800000,8e+07,2.1e+08,1.3e+08,56000,860,"OK","OK","OK","OK","OK","OK"
"86","Garelick Farms","458","12-2","spore",310,1300,20000,260000,1000,540,"OK","OK","OK","OK","OK","OK"
"87","Garelick Farms","458","12-3","spore",710,2000,1e+05,3900000,990,830,"OK","OK","OK","OK","OK","OK"
"88","Garelick Farms","458","13","spore",620,4e+05,4e+07,3e+05,1300,1100,"OK",">",">","OK","OK","OK"
"89","Garelick Farms","458","13-1","spore",2800,2500000,4e+07,6.4e+07,19000,460,"OK","OK",">","OK","OK","OK"
"90","Garelick Farms","458","13-2","ppc",1.2e+07,2.6e+08,3.2e+08,7.2e+07,43000,710,"OK","OK","OK","OK","OK","OK"
"91","Garelick Farms","458","13-3","spore",940,620,7500,160000,1800,920,"OK","OK","OK","OK","OK","OK"
"92","Garelick Farms","458","14","spore",640,500,1900,190000,890,410,"OK","OK","OK","OK","OK","OK"
"93","Garelick Farms","Aim2","Prelim","ppc",20750000,92250000,NA,NA,69750,888,"OK","OK","OK","OK","OK","OK"
"94","Garelick Farms","Aim2","Prelim","ppc",4955000,17150000,NA,NA,1535,776,"OK","OK","OK","OK","OK","OK"
"95","Garelick Farms","Aim2","Prelim","ppc",19600000,1.1e+08,NA,NA,14550,532,"OK","OK","OK","OK","OK","OK"
"96","Garelick Farms","Aim2","Prelim","ppc",28950000,NA,NA,NA,5090000,838,"OK","OK","OK","OK","OK","OK"
"97","Garelick Farms","Aim2","Prelim","ppc",23500000,81600000,NA,NA,4e+05,603,"OK","OK","OK","OK","OK","OK"
"98","Garelick Farms","Aim2","Prelim","ppc",12450000,18750000,NA,NA,1605,490,"OK","OK","OK","OK","OK","OK"
