"","scenario","day","mean","sd"
"261","NB_BestPPCVSL436_LT","16",1.61146218302382,2.33243228446749
"262","NB_BestPPCVSL436_LT","17",1.79721009829384,2.40153082754428
"263","NB_BestPPCVSL436_LT","18",1.97479878234617,2.45703448524715
"264","NB_BestPPCVSL436_LT","19",2.14609482026838,2.50723379787082
"265","NB_BestPPCVSL436_LT","20",2.31121784146501,2.55088254531229
"266","NB_BestPPCVSL436_LT","21",2.47097300837765,2.58622692410282
"267","NB_BestPPCVSL436_LT","22",2.62630360136428,2.6176987406429
"268","NB_BestPPCVSL436_LT","23",2.77824938785066,2.6448537765139
"269","NB_BestPPCVSL436_LT","24",2.92522844224489,2.66721487630327
"270","NB_BestPPCVSL436_LT","25",3.06817761824234,2.68521434755064
"271","NB_BestPPCVSL436_LT","26",3.20714893174026,2.70168145400595
"272","NB_BestPPCVSL436_LT","27",3.34161229311961,2.71713881307874
"273","NB_BestPPCVSL436_LT","28",3.47261321866666,2.7292567927635
"274","NB_BestPPCVSL436_LT","29",3.59597517603179,2.73503358128359
"275","NB_BestPPCVSL436_LT","30",3.71348343802811,2.73732058252462
"276","NB_BestPPCVSL436_LT","31",3.82513044424575,2.7364730365872
"277","NB_BestPPCVSL436_LT","32",3.93060438821411,2.73297996763816
"278","NB_BestPPCVSL436_LT","33",4.02893986885541,2.72599545794439
"279","NB_BestPPCVSL436_LT","34",4.12018646864128,2.71693468527584
"280","NB_BestPPCVSL436_LT","35",4.20624005124361,2.70608201557247
"281","NB_MeanSpoilType_CT","1",-0.497126766411705,0.862408564253805
"282","NB_MeanSpoilType_CT","2",-0.131701386853308,1.0446784774625
"283","NB_MeanSpoilType_CT","3",0.594649766568396,1.79164353122972
"284","NB_MeanSpoilType_CT","4",1.2396968610922,2.76419759758161
"285","NB_MeanSpoilType_CT","5",1.54503013083999,2.95207883309301
"286","NB_MeanSpoilType_CT","6",1.87266491443617,3.06183221493702
"287","NB_MeanSpoilType_CT","7",2.19283469916148,3.16788408351875
"288","NB_MeanSpoilType_CT","8",2.47171732995509,3.23951630005832
"289","NB_MeanSpoilType_CT","9",2.7246564992037,3.2572663290933
"290","NB_MeanSpoilType_CT","10",2.95462408556255,3.25177630644259
"291","NB_MeanSpoilType_CT","11",3.16496624744669,3.22874030739891
"292","NB_MeanSpoilType_CT","12",3.36943921031314,3.20473924439819
"293","NB_MeanSpoilType_CT","13",3.56725381801356,3.19083754585554
"294","NB_MeanSpoilType_CT","14",3.75991895000977,3.19117171412983
"295","NB_MeanSpoilType_CT","15",3.95916456555791,3.18005771330743
"296","NB_MeanSpoilType_CT","16",4.15134334294368,3.16067416724042
"297","NB_MeanSpoilType_CT","17",4.32065565307625,3.14632337058272
"298","NB_MeanSpoilType_CT","18",4.4711015498732,3.13847928364317
"299","NB_MeanSpoilType_CT","19",4.60805955047411,3.13817342131744
"300","NB_MeanSpoilType_CT","20",4.73341015624675,3.14514595073966
"301","NB_MeanSpoilType_CT","21",4.84388302029297,3.15588937013933
"302","NB_MeanSpoilType_CT","22",4.93398675533351,3.16498816108358
"303","NB_MeanSpoilType_CT","23",5.00577611566218,3.17213378330255
"304","NB_MeanSpoilType_CT","24",5.06244257392055,3.17838170947395
"305","NB_MeanSpoilType_CT","25",5.10495891263442,3.18270875236992
"306","NB_MeanSpoilType_CT","26",5.1411945062595,3.18857818618143
"307","NB_MeanSpoilType_CT","27",5.17185147675675,3.1958226837141
"308","NB_MeanSpoilType_CT","28",5.19856725059237,3.20488652591034
"309","NB_MeanSpoilType_CT","29",5.22115314437118,3.21487626047407
"310","NB_MeanSpoilType_CT","30",5.23654090920775,3.2223331494386
"311","NB_MeanSpoilType_CT","31",5.24709867137003,3.2281120582073
"312","NB_MeanSpoilType_CT","32",5.25184344497049,3.23070254533838
"313","NB_MeanSpoilType_CT","33",5.25433358538991,3.23212671962429
"314","NB_MeanSpoilType_CT","34",5.25552161159326,3.2328407491508
"315","NB_MeanSpoilType_CT","35",5.256115566682,3.23326367485445
"316","NB_MeanSpoilType_LT","1",-0.576769989869464,0.904902986507769
"317","NB_MeanSpoilType_LT","2",-0.379721033747557,1.110731709442
"318","NB_MeanSpoilType_LT","3",-0.115661294747326,1.42089845552561
"319","NB_MeanSpoilType_LT","4",0.190078387646152,1.79176346337937
"320","NB_MeanSpoilType_LT","5",0.492520099045733,2.12047193969719
"321","NB_MeanSpoilType_LT","6",0.771212319728827,2.38781285038042
"322","NB_MeanSpoilType_LT","7",1.0088629869074,2.5633476168774
"323","NB_MeanSpoilType_LT","8",1.22449607879803,2.70746478756457
"324","NB_MeanSpoilType_LT","9",1.4273206559955,2.83988231089741
"325","NB_MeanSpoilType_LT","10",1.61082677636788,2.9455560820932
"326","NB_MeanSpoilType_LT","11",1.7814504888725,3.02371613209514
"327","NB_MeanSpoilType_LT","12",1.93986606254413,3.08605699183545
"328","NB_MeanSpoilType_LT","13",2.08821974343072,3.13808977541379
"329","NB_MeanSpoilType_LT","14",2.23311757364724,3.18959642868744
