FSL,Genus,Species,project,sample ident,sampleid num,Isolate Source Very Specific,rpoB allelic type
FSL M7-1082,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,A10,66030,Laboratory Heat Treated Raw Milk,3
FSL M7-1559,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,B1,66090,Laboratory Heat Treated Raw Milk,3
FSL M7-1116,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,B10,66018,Laboratory Heat Treated Raw Milk,3
FSL M7-0645,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,B6,66028,Laboratory Heat Treated Raw Milk,3
FSL M7-1417,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,C1,66096,Laboratory Heat Treated Raw Milk,3
FSL M7-1024,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,C9,66066,Laboratory Heat Treated Raw Milk,3
FSL M7-0669,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,D10,66036,Laboratory Heat Treated Raw Milk,3
FSL M7-1185,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,D11,66085,Laboratory Heat Treated Raw Milk,3
FSL M7-0107,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,D2,52516,Laboratory Heat Treated Raw Milk,3
FSL M7-1519,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,D2*,66077,Laboratory Heat Treated Raw Milk,3
FSL M7-0322,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,D3,52523,Laboratory Heat Treated Raw Milk,3
FSL M7-0404,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,D4,52545,Laboratory Heat Treated Raw Milk,3
FSL M7-0737,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,D5,66015,Laboratory Heat Treated Raw Milk,3
FSL M7-0744,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,D6,66026,Laboratory Heat Treated Raw Milk,3
FSL M7-1006,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,D9,66073,Laboratory Heat Treated Raw Milk,3
FSL M7-0052,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,E2,52519,Laboratory Heat Treated Raw Milk,3
FSL M7-0999,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,E9,66074,Laboratory Heat Treated Raw Milk,3
FSL M7-0054,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,F2,52514,Laboratory Heat Treated Raw Milk,3
FSL M7-1163,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,G10,66014,Laboratory Heat Treated Raw Milk,3
FSL M7-1261,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,G11,66084,Laboratory Heat Treated Raw Milk,3
FSL M7-0057,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,G2,52515,Laboratory Heat Treated Raw Milk,3
FSL M7-1069,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,G9,66061,Laboratory Heat Treated Raw Milk,3
FSL M7-1510,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,H2*,66047,Laboratory Heat Treated Raw Milk,3
FSL M7-1246,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,I11,66089,Laboratory Heat Treated Raw Milk,3
FSL M7-1120,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,J10,66075,Laboratory Heat Treated Raw Milk,3
FSL M7-0877,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,J5,66025,Laboratory Heat Treated Raw Milk,3
FSL M7-0881,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,J6,66027,Laboratory Heat Treated Raw Milk,3
FSL M7-0897,Bacillus,weihenstephanensis,Sporeformer - Longitudinal,J8,66064,Laboratory Heat Treated Raw Milk,3
FSL H3-0451,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,Lab#05-203,27373,Raw milk,3
FSL R5-0222,Paenibacillus,sp.,U.S. milk study, ,37793,heat treated 2% fat milk,15
FSL R5-0279,Paenibacillus,sp.,U.S. milk study, ,37849,heat treated 2% fat milk,15
FSL R5-0284,Paenibacillus,sp.,U.S. milk study, ,37853,heat treated 2% fat milk,15
FSL R5-0337,Paenibacillus,sp.,U.S. milk study, ,37906,heat treated 2% fat milk,15
FSL R5-0338,Paenibacillus,sp.,U.S. milk study, ,37907,heat treated 2% fat milk,15
FSL R5-0469,Paenibacillus,sp.,U.S. milk study, ,38036,heat treated 2% fat milk,15
FSL R5-0487,Paenibacillus,sp.,U.S. milk study, ,38054,heat treated 2% fat milk,15
FSL R5-0489,Paenibacillus,sp.,U.S. milk study, ,38056,heat treated 2% fat milk,15
FSL R5-0514,Paenibacillus,sp.,U.S. milk study, ,38081,heat treated 2% fat milk,15
FSL R5-0563,Paenibacillus,sp.,U.S. milk study, ,38127,heat treated 2% fat milk,15
FSL R5-0578,Paenibacillus,sp.,U.S. milk study, ,38142,heat treated 2% fat milk,15
FSL R5-0639,Paenibacillus,sp.,U.S. milk study, ,38200,heat treated 2% fat milk,15
FSL R5-0693,Paenibacillus,sp.,U.S. milk study, ,38252,heat treated 2% fat milk,15
FSL R5-0874,Paenibacillus,sp.,HTST pastuerization temperatures, ,36437,heat treated 2% fat milk,15
FSL R5-0876,Paenibacillus,sp.,HTST pastuerization temperatures, ,36438,heat treated 2% fat milk,15
FSL R5-0877,Paenibacillus,sp.,HTST pastuerization temperatures, ,36439,heat treated 2% fat milk,15
FSL R5-0896,Paenibacillus,sp.,HTST pastuerization temperatures, ,36440,heat treated 2% fat milk,15
