"","Plant_VSLNumber_SampleID","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","CVTA_D7","CVTA_DI","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI"
"96","Hood-Agawam_438_12-2",1,1,1,5.60205999132796,1,1,NA,5.60205999132796,NA,7.60205999132796,NA,NA
"97","Hood-Agawam_438_13",1,2.60097289568675,1,1,1,1,2.0899051114394,NA,2.51851393987789,1.84509804001426,NA,NA
"98","Hood-Agawam_438_13-1",1,1,1,1,1,1,2.48713837547719,2.40823996531185,NA,2.33243845991561,NA,NA
"99","Hood-Agawam_438_13-2",1,1,1,1,1,1,NA,2.33243845991561,2.33243845991561,NA,NA,2.72509452108147
"100","Hood-Agawam_441_62",1,1,1.30102999566398,2.31175386105575,1,1,2.18752072083646,NA,NA,NA,2.05307844348342,2.05307844348342
"101","Hood-Agawam_441_62-2",1,5.60205999132796,1,1,1,1,2.58994960132571,5.60205999132796,NA,NA,2.60097289568675,NA
"102","Hood-Agawam_441_63",NA,NA,1,NA,1,1,NA,NA,NA,NA,2.38916608436453,2.57863920996807
"103","Hood-Agawam_441_63-1",1,1,1,1,1,1,2.45636603312904,NA,2.58883172559421,NA,2.48713837547719,NA
"104","Hood-Agawam_441_63-2",NA,NA,NA,5,NA,1,NA,NA,NA,5,NA,NA
"105","Hood-Barre_433_41",1,1.49136169383427,NA,1,1,1,NA,NA,NA,NA,1.91381385238372,1.96378782734556
"106","Hood-Barre_433_42",1,1,1.49136169383427,NA,1,1,2.0899051114394,NA,-Inf,NA,2.35218251811136,NA
"107","Hood-Barre_433_42-1",1,1,1,2.40823996531185,1,1,2.0899051114394,2.12385164096709,NA,NA,2.26481782300954,2.00860017176192
"108","Hood-Barre_433_43",1,1,1,1,1,1,2.05307844348342,2.0899051114394,NA,NA,2.12385164096709,2.35218251811136
"109","Hood-Barre_433_43-1",1,1,1,1,1,1,2.00860017176192,2.26481782300954,1.70757017609794,NA,2.35218251811136,2.45636603312904
