Trial,PlateID,Day,HTST_Temp,Storage_Temp,Raw_APC,LPC,MSC,MSC_Spread%,PSC_10,PSC_21,PI,APC,CVTA,pH,Particle_Size,Coagulated,IsoID,Genus,Species,AT,Hypothesis,DayInt_SPC
3,75C S10C D11 SPC,11,75,10,,,,,,,,39400000,Y,6.13,2503.7,Y,,,,,,80
3,75C S10C D11 SPC1,11,75,10,,,,,,,,53836632,Y,6.16,3050.7,Y,,,,,,60
3,85C S10C D11 SPC2,11,85,10,,,,,,,,10078125,N,6.4,230.2,,,,,,,140
3,85C S10C D11 SPC3,11,85,10,,,,,,,,5186336,N,6.4,229.6,,,,,,,120
3,90C S10C D11 SPC4,11,90,10,,,,,,,,23200000,Y,6.35,311.7,,,,,,,20
3,90C S10C D11 SPC5,11,90,10,,,,,,,,20000000,Y,6.35,317.7,,,,,,,0
3,75C S10C D13 SPC,13,75,10,,,,,,,,16800000,Y,5.94,3381.2,Y,,,,,,80
3,75C S10C D13 SPC1,13,75,10,,,,,,,,15400000,Y,5.95,3596.7,Y,,,,,,60
3,85C S10C D13 SPC3,13,85,10,,,,,,,,13400000,Y,5.88,340.1,,,,,,,140
3,85C S10C D13 SPC2,13,85,10,,,,,,,,16400000,Y,5.89,357.2,,,,,,,120
3,90C S10C D13 SPC4,13,90,10,,,,,,,,110019648,N,5.63,239.5,,,,,,,20
3,90C S10C D13 SPC5,13,90,10,,,,,,,,93811392,N,5.63,240.6,,,,,,,0
3,75C S3C D14 SPC,14,75,3,,,,,,,,180,N,6.56,243.7,,,,,,,80
