ID,Initial microbial count,LOG Initial microbial count
5175,0.698970004,5
5176,-2.990869981,0.001021245
5177,0.698970004,5
5180,-2.123611521,0.007522955
5181,-0.655914999,0.220843693
5184,-1.982109105,0.010420556
5185,-1.054399069,0.088226882
5187,0.698970004,5
5188,0.698970004,5
5189,0.351627702,2.247127433
5190,0.698970004,5
5192,0.698970004,5
5193,-0.450761615,0.354191704
5194,-0.836716563,0.145640928
5195,0.098079619,1.253370935
5196,0.698970004,5
5197,-0.155555208,0.69894788
5202,0.802596549,6.347409957
5204,0.698970004,5
5205,-1.151342349,0.070576099
5206,0.698970004,5
5207,0.698970004,5
5208,1.049551333,11.20859901
5209,-0.043157365,0.90540447
5210,0.698970004,5
5211,0.698970004,5
5212,0.698970004,5
5213,1.442210783,27.68284895
5214,0.282491119,1.916421871
5215,0.698970004,5
5217,2.189046753,154.5420799
5218,3.836443276,6861.88248
5219,1.640289,43.68064073
5220,2.135136556,136.5012271
5221,2.163858019,145.8337418
5223,-1.724503071,0.018858056
5224,0.698970004,5
5225,-0.264549218,0.543814498
5226,-0.686437685,0.205855424
5228,-1.689305001,0.020450079
5229,-1.702139222,0.019854583
5230,-0.733583866,0.184678413
5231,-1.167931293,0.067931109
5232,-0.135527828,0.731934423
5235,-0.286732732,0.516734274
5236,-1.686437685,0.020585542
5237,-0.762894702,0.172625638
5238,-1.018334591,0.095866177
5240,0.698970004,5
5241,1.29636328,19.78624033
5243,-1.956064606,0.011064592
5246,-1.645220025,0.022634973
5247,0.888987894,7.744402096
5248,1.149903029,14.12222183
5249,0.158903506,1.441794969
5250,1.281275888,19.11066887
5251,1.112453459,12.95547852
5252,0.126012059,1.336632631
5254,0.698970004,5
5255,0.698970004,5
5261,0.698970004,5
5262,-0.095052299,0.803429365
5263,0.265830969,1.844297464
5265,0.176762746,1.502321026
5266,0.219956862,1.65942207
5267,1.137305713,13.7184711
5268,0.751227657,5.639331923
5269,0.595585332,3.940808508
